STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-15,0,,55,41
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-16,0,,48,26
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-17,0,,55,24
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-18,0,,55,45
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-19,0,,66,38
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-20,0,,65,40
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-21,0,,64,44
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-22,0,,61,36
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-23,0,,59,38
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-24,0,,60,34
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-25,0,,64,39
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-26,0,,64,42
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-27,0,,63,44
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-28,0,,68,36
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-29,0,,71,47
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-30,0,,65,38
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-01,0,,61,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-02,0,,61,48
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-03,0,,61,40
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-04,0,,70,35
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-05,0,,70,53
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-06,0,,69,39
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-07,0,,70,51
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-08,0,,54,45
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-09,0,,63,40
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-10,0,,74,39
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-11,0,,75,44
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-12,0,,54,37
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-13,0,,52,32
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-14,0,,49,39
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-15,0,,51,33
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-16,0,,77,40
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-17,0,,74,43
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-18,0,,75,54
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-19,0,,69,43
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-20,0,,58,39
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-21,0,,65,39
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-22,0,,73,49
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-23,0,,76,57
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-24,0,,74,54
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-25,0,,66,50
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-26,0,,65,44
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-27,0,,69,44
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-28,0,,67,53
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-29,0,,60,50
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-30,0,,76,48
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-05-31,0,,83,51
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-01,0,,85,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-02,0,,85,64
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-03,0,,80,61
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-04,0,,83,62
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-05,0,,82,55
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-06,0,,76,55
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-07,0,,76,55
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-08,0,,78,53
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-09,0,,82,51
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-10,0,,84,59
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-11,0,,83,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-12,0,,86,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-13,0,,85,62
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-14,0,,81,55
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-15,0,,81,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-16,0,,79,59
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-17,0,,78,52
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-18,0,,78,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-19,0,,69,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-20,0,,82,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-21,0,,83,61
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-22,0,,85,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-23,0,,90,68
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-24,0,,90,72
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-25,0,,81,65
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-26,0,,82,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-27,0,,87,67
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-28,0,,86,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-29,0,,69,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-06-30,0,,84,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-01,0,,86,67
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-02,0,,83,58
