Unnamed: 0,Date,MaxTemp,MinTemp,Precip,Snow,SnowDepth,datetime,day,month,year,season
1130,1874-02-04,22,9,0.01,M,M,1874-02-04,4,2,1874,Winter
1131,1874-02-05,23,-3,0.03,M,M,1874-02-05,5,2,1874,Winter
1132,1874-02-06,28,15,0.28,M,M,1874-02-06,6,2,1874,Winter
1133,1874-02-07,26,12,0,M,M,1874-02-07,7,2,1874,Winter
1134,1874-02-08,26,10,0,M,M,1874-02-08,8,2,1874,Winter
1135,1874-02-09,23,-3,0,M,M,1874-02-09,9,2,1874,Winter
1136,1874-02-10,26,8,0,M,M,1874-02-10,10,2,1874,Winter
1137,1874-02-11,29,3,0,M,M,1874-02-11,11,2,1874,Winter
1138,1874-02-12,28,13,0.05,M,M,1874-02-12,12,2,1874,Winter
1139,1874-02-13,13,-6,0,M,M,1874-02-13,13,2,1874,Winter
1140,1874-02-14,21,-4,T,M,M,1874-02-14,14,2,1874,Winter
1141,1874-02-15,22,9,0,M,M,1874-02-15,15,2,1874,Winter
1142,1874-02-16,25,-1,0,M,M,1874-02-16,16,2,1874,Winter
1143,1874-02-17,28,-4,0,M,M,1874-02-17,17,2,1874,Winter
1144,1874-02-18,28,10,0,M,M,1874-02-18,18,2,1874,Winter
1145,1874-02-19,30,4,0.02,M,M,1874-02-19,19,2,1874,Winter
1146,1874-02-20,27,-11,0,M,M,1874-02-20,20,2,1874,Winter
1147,1874-02-21,19,-1,0,M,M,1874-02-21,21,2,1874,Winter
1148,1874-02-22,13,5,0.48,M,M,1874-02-22,22,2,1874,Winter
1149,1874-02-23,12,-3,0.12,M,M,1874-02-23,23,2,1874,Winter
1150,1874-02-24,3,-18,0,M,M,1874-02-24,24,2,1874,Winter
1151,1874-02-25,10,-15,0,M,M,1874-02-25,25,2,1874,Winter
1152,1874-02-26,24,3,0,M,M,1874-02-26,26,2,1874,Winter
1153,1874-02-27,36,4,0,M,M,1874-02-27,27,2,1874,Winter
1154,1874-02-28,33,7,0,M,M,1874-02-28,28,2,1874,Winter
1430,1874-12-01,36,14,0,M,M,1874-12-01,1,12,1874,Winter
1431,1874-12-02,43,30,0,M,M,1874-12-02,2,12,1874,Winter
1432,1874-12-03,34,27,0,M,M,1874-12-03,3,12,1874,Winter
1433,1874-12-04,38,30,0.02,M,M,1874-12-04,4,12,1874,Winter
1434,1874-12-05,42,27,0,M,M,1874-12-05,5,12,1874,Winter
1435,1874-12-06,32,22,0,M,M,1874-12-06,6,12,1874,Winter
1436,1874-12-07,26,12,0,M,M,1874-12-07,7,12,1874,Winter
1437,1874-12-08,40,20,0,M,M,1874-12-08,8,12,1874,Winter
1438,1874-12-09,30,14,0.01,M,M,1874-12-09,9,12,1874,Winter
1439,1874-12-10,28,8,T,M,M,1874-12-10,10,12,1874,Winter
1440,1874-12-11,15,0,0,M,M,1874-12-11,11,12,1874,Winter
1441,1874-12-12,20,3,0,M,M,1874-12-12,12,12,1874,Winter
1442,1874-12-13,20,9,0.08,M,M,1874-12-13,13,12,1874,Winter
1443,1874-12-14,25,2,0,M,M,1874-12-14,14,12,1874,Winter
1444,1874-12-15,48,19,0,M,M,1874-12-15,15,12,1874,Winter
1445,1874-12-16,32,17,0.5,M,M,1874-12-16,16,12,1874,Winter
1446,1874-12-17,17,-5,0,M,M,1874-12-17,17,12,1874,Winter
1447,1874-12-18,32,-1,0,M,M,1874-12-18,18,12,1874,Winter
1448,1874-12-19,27,12,0,M,M,1874-12-19,19,12,1874,Winter
1449,1874-12-20,20,1,0,M,M,1874-12-20,20,12,1874,Winter
1450,1874-12-21,29,12,0,M,M,1874-12-21,21,12,1874,Winter
1451,1874-12-22,29,12,0.02,M,M,1874-12-22,22,12,1874,Winter
1452,1874-12-23,29,16,0.05,M,M,1874-12-23,23,12,1874,Winter
1453,1874-12-24,17,0,0.01,M,M,1874-12-24,24,12,1874,Winter
1454,1874-12-25,25,15,0,M,M,1874-12-25,25,12,1874,Winter
1455,1874-12-26,16,6,0,M,M,1874-12-26,26,12,1874,Winter
1456,1874-12-27,27,8,0.03,M,M,1874-12-27,27,12,1874,Winter
1457,1874-12-28,20,-13,0,M,M,1874-12-28,28,12,1874,Winter
